Estado,Rede,Série,Disciplina,Matriculados na Série,Taxa de Participação (%),Percentual Insuficiente (%),Percentual Básico (%),Percentual Proficiente (%),Percentual Avançado (%),Percentual Aprendizado Adequado (%),Crescimento entre 2013 e 2015 (pp*)
Acre,Todas,9º ano,Matemática,10299,69.09999999999999,31.85,57.8,9.449999999999999,0.9,10.35,2.44
Alagoas,Todas,9º ano,Matemática,30819,76.12,45.27,49.33,4.99,0.41,5.4,2.32
Amapá,Todas,9º ano,Matemática,9299,77.83,45.89,50.97,3.01,0.13,3.14,0.62
Amazonas,Todas,9º ano,Matemática,49146,85.72,34.82,54.51,9.26,1.41,10.67,2.88
Bahia,Todas,9º ano,Matemática,124885,81.59,39.87,53.17,6.51,0.45,6.96,1.98
Ceará,Todas,9º ano,Matemática,72042,93.55,29.74,54.78,12.8,2.68,15.48,4.76
Distrito Federal,Todas,9º ano,Matemática,28569,80.33,26.06,58.94,13.16,1.84,15,1.82
Espírito Santo,Todas,9º ano,Matemática,36312,81.48999999999999,26.54,57.49,13.76,2.21,15.97,0.3
Goiás,Todas,9º ano,Matemática,67235,84.40000000000001,26.39,57.49,14.28,1.84,16.12,2.11
Maranhão,Todas,9º ano,Matemática,66386,83.40000000000001,47.67,47.44,4.49,0.4,4.89,1.81
Mato Grosso,Todas,9º ano,Matemática,37365,78.05,36.51,53.22,9.449999999999999,0.82,10.27,2.32
Mato Grosso do Sul,Todas,9º ano,Matemática,28324,75.47,21.21,60.3,16.44,2.05,18.49,5.35
Minas Gerais,Todas,9º ano,Matemática,255263,83.09,24.59,55.46,17.03,2.92,19.96,0.38
Pará,Todas,9º ano,Matemática,74067,80.52,40.93,53.16,5.52,0.39,5.91,1.62
Paraíba,Todas,9º ano,Matemática,34512,79.40000000000001,41.67,51.64,6.21,0.48,6.69,1.91
Paraná,Todas,9º ano,Matemática,119343,78.93000000000001,26.12,58.91,13.45,1.52,14.97,1.8
Pernambuco,Todas,9º ano,Matemática,86428,84.42,36.87,53.91,8.289999999999999,0.93,9.220000000000001,2.82
Piauí,Todas,9º ano,Matemática,27138,86.31999999999999,35.8,54.83,8.279999999999999,1.09,9.380000000000001,3.05
Rio de Janeiro,Todas,9º ano,Matemática,133995,82.43000000000001,31.66,54.38,12,1.96,13.96,1.13
Rio Grande do Norte,Todas,9º ano,Matemática,27720,72.73,37.57,54.34,7.43,0.66,8.09,1.41
Rio Grande do Sul,Todas,9º ano,Matemática,72648,77.13,24.19,60.13,14.28,1.4,15.68,1.61
Rondônia,Todas,9º ano,Matemática,15632,79.77,25.87,61.11,12.05,0.97,13.02,3.14
Roraima,Todas,9º ano,Matemática,6419,75.73,43.63,50.1,5.36,0.91,6.27,0.82
Santa Catarina,Todas,9º ano,Matemática,64428,86.42,17.49,58.59,21.06,2.86,23.92,10.25
São Paulo,Todas,9º ano,Matemática,521719,81.16,28.76,55.58,13.79,1.87,15.66,2.71
Sergipe,Todas,9º ano,Matemática,17392,77.34999999999999,36.49,56.71,6.25,0.55,6.81,1.63
Tocantins,Todas,9º ano,Matemática,18971,83.05,35.9,52.98,9.949999999999999,1.17,11.12,1.58
